Name,Country,Confederation,Position,Attack,Passing,P,Goals,Assists,WC_P,WC_Goals,WC_Assists
Hassan Sunny,Singapore,AFC,GK,0,0,0,0,0,0,0,0
Nazrul Nazari,Singapore,AFC,DEF,1,2,0,0,0,0,0,0
Zulqarnaen Suzliman,Singapore,AFC,DEF,1,2,0,0,0,0,0,0
FadilKamis,Singapore,AFC,DEF,2,5,0,0,0,0,0,0
Anders Aplin,Singapore,AFC,DEF,2,5,0,0,0,0,0,0
Anumanthan Kumar,Singapore,AFC,MID,4,4,0,0,0,0,0,0
Firadus Kasman,Singapore,AFC,MID,4,4,0,0,0,0,0,0
Gabriel Quak,Singapore,AFC,MID,6,10,0,0,0,0,0,0
Shahdan Sulaiman ,Singapore,AFC,MID,6,10,0,0,0,0,0,0
Sahil Suhaimi,Singapore,AFC,ATK,10,8,0,0,0,0,0,0
Shawal Anuar,Singapore,AFC,ATK,10,8,0,0,0,0,0,0
Kiran Chemjong,Nepal,AFC,GK,0,0,0,0,0,0,0,0
Suman Aryal,Nepal,AFC,DEF,1,2,0,0,0,0,0,0
Rajin Dhimal,Nepal,AFC,DEF,1,2,0,0,0,0,0,0
Ajit Bhandari,Nepal,AFC,DEF,2,5,0,0,0,0,0,0
Anata Tamang,Nepal,AFC,DEF,2,5,0,0,0,0,0,0
Rohit Chand,Nepal,AFC,MID,4,4,0,0,0,0,0,0
Sunil Bal,Nepal,AFC,MID,4,4,0,0,0,0,0,0
Sujal Shrestha,Nepal,AFC,MID,6,10,0,0,0,0,0,0
Anjan Bista,Nepal,AFC,MID,6,10,0,0,0,0,0,0
Bharat Khawas,Nepal,AFC,ATK,10,8,0,0,0,0,0,0
Nawayug Shreshta,Nepal,AFC,ATK,10,8,0,0,0,0,0,0
Sou Yaty,Cambodia,AFC,GK,0,0,0,0,0,0,0,0
Cheng Meng,Cambodia,AFC,DEF,1,2,0,0,0,0,0,0
Sath Rosib,Cambodia,AFC,DEF,1,2,0,0,0,0,0,0
Sareth Krya,Cambodia,AFC,DEF,2,5,0,0,0,0,0,0
Soeuy Visal,Cambodia,AFC,DEF,2,5,0,0,0,0,0,0
Sos Suhana,Cambodia,AFC,MID,4,4,0,0,0,0,0,0
Thierry Chantha Bin,Cambodia,AFC,MID,4,4,0,0,0,0,0,0
Kouch Sokumpheak,Cambodia,AFC,MID,6,10,0,0,0,0,0,0
Yeu Muslim,Cambodia,AFC,MID,6,10,0,0,0,0,0,0
Prak Mony Udom,Cambodia,AFC,ATK,10,8,0,0,0,0,0,0
Keo Sokpheng,Cambodia,AFC,ATK,10,8,0,0,0,0,0,0
Nadeo Argawinata,Indonesia,AFC,GK,0,0,0,0,0,0,0,0
Bagas Adi,Indonesia,AFC,DEF,1,2,0,0,0,0,0,0
Johan Alfarizi,Indonesia,AFC,DEF,1,2,0,0,0,0,0,0
Asnawi Mangkualam,Indonesia,AFC,DEF,2,5,0,0,0,0,0,0
Fachrudin Aryanto,Indonesia,AFC,DEF,2,5,0,0,0,0,0,0
Febri Hariyadi,Indonesia,AFC,MID,4,4,0,0,0,0,0,0
Hendro Siswanto,Indonesia,AFC,MID,4,4,0,0,0,0,0,0
Zulfiandi,Indonesia,AFC,MID,6,10,0,0,0,0,0,0
Evan Dimas,Indonesia,AFC,MID,6,10,0,0,0,0,0,0
Irfan Bachdim,Indonesia,AFC,ATK,10,8,0,0,0,0,0,0
Ilija Spasojevic,Indonesia,AFC,ATK,10,8,0,0,0,0,0,0
Ho Man Fai,Macau,AFC,GK,0,0,0,0,0,0,0,0
Filipe Duarte,Macau,AFC,DEF,1,2,0,0,0,0,0,0
Lei Ka Him,Macau,AFC,DEF,1,2,0,0,0,0,0,0
Chan Man,Macau,AFC,DEF,2,5,0,0,0,0,0,0
Pang Chi Hang,Macau,AFC,MID,4,5,0,0,0,0,0,0
Kong Cheng Hou,Macau,AFC,MID,4,4,0,0,0,0,0,0
Ho Chi Fung,Macau,AFC,MID,4,4,0,0,0,0,0,0
Lam Ka Seng,Macau,AFC,MID,6,10,0,0,0,0,0,0
Leong Ka Hang,Macau,AFC,ATK,10,10,0,0,0,0,0,0
Ho Man Hou,Macau,AFC,ATK,10,8,0,0,0,0,0,0
Niki Torrao,Macau,AFC,ATK,10,8,0,0,0,0,0,0
Ashraful Islam Rana,Bangladesh,AFC,GK,0,0,0,0,0,0,0,0
Biswanath Ghosh,Bangladesh,AFC,DEF,1,2,0,0,0,0,0,0
Raphat Mia,Bangladesh,AFC,DEF,1,2,0,0,0,0,0,0
Yeasin Khan,Bangladesh,AFC,DEF,2,5,0,0,0,0,0,0
Topu Barman,Bangladesh,AFC,DEF,2,5,0,0,0,0,0,0
Jamal Bhuyan,Bangladesh,AFC,MID,4,4,0,0,0,0,0,0
Biplu Ahmed,Bangladesh,AFC,MID,4,4,0,0,0,0,0,0
Robiul Hasan,Bangladesh,AFC,MID,6,10,0,0,0,0,0,0
Manumul Islam,Bangladesh,AFC,MID,6,10,0,0,0,0,0,0
Nabib Newaj Jibon,Bangladesh,AFC,ATK,10,8,0,0,0,0,0,0
Motin Mia,Bangladesh,AFC,ATK,10,8,0,0,0,0,0,0
Outthilath Nammakoth,Laos,AFC,GK,0,0,0,0,0,0,0,0
Thinnakone Vongsa,Laos,AFC,DEF,1,2,0,0,0,0,0,0
Kaharn Phetsivilay,Laos,AFC,DEF,1,2,0,0,0,0,0,0
Vanna Bounlovongsa,Laos,AFC,DEF,1,5,0,0,0,0,0,0
Lathasay Lounlasy,Laos,AFC,DEF,1,5,0,0,0,0,0,0
Phoutdvy Phommasane,Laos,AFC,MID,2,4,0,0,0,0,0,0
Phoutthasay Khochalern,Laos,AFC,MID,2,4,0,0,0,0,0,0
Phouthone Innalay,Laos,AFC,MID,2,10,0,0,0,0,0,0
Soukaphone Vongchiengkham,Laos,AFC,MID,10,10,0,0,0,0,0,0
Somxay Keohanam,Laos,AFC,ATK,6,8,0,0,0,0,0,0
Vannasone Douangmaity,Laos,AFC,ATK,6,8,0,0,0,0,0,0
Tshering Dendup,Bhutan,AFC,GK,0,0,0,0,0,0,0,0
Tenzin Dorji,Bhutan,AFC,DEF,1,2,0,0,0,0,0,0
Phuntsho Jigme,Bhutan,AFC,DEF,1,2,0,0,0,0,0,0
Mipham Jigme,Bhutan,AFC,DEF,1,5,0,0,0,0,0,0
Choki Wangchuk,Bhutan,AFC,DEF,3,5,0,0,0,0,0,0
Nima Wangdi,Bhutan,AFC,MID,2,4,0,0,0,0,0,0
Chimi Dorji,Bhutan,AFC,MID,2,4,0,0,0,0,0,0
Karma Shedrup Thsering,Bhutan,AFC,MID,5,10,0,0,0,0,0,0
Tsering Dorji,Bhutan,AFC,MID,9,10,0,0,0,0,0,0
Kabile Nadoem,Bhutan,AFC,ATK,6,8,0,0,0,0,0,0
Chencho Gyeltshen,Bhutan,AFC,ATK,10,8,0,0,0,0,0,0
Arinubold Batsaikhan,Mongolia,AFC,GK,0,0,0,0,0,0,0,0
Torbat Daginaa,Mongolia,AFC,DEF,1,2,0,0,0,0,0,0
Bilguun Ganbold,Mongolia,AFC,DEF,1,2,0,0,0,0,0,0
Tsedenbal Norjmoo,Mongolia,AFC,DEF,4,5,0,0,0,0,0,0
Bayasgalan Garidmagnai,Mongolia,AFC,DEF,2,5,0,0,0,0,0,0
Jansyerik Maratkhan,Mongolia,AFC,MID,4,4,0,0,0,0,0,0
Sundorj Janchiv,Mongolia,AFC,MID,4,4,0,0,0,0,0,0
Monkh-Erdeniin Togoldor,Mongolia,AFC,MID,6,10,0,0,0,0,0,0
Baljinnyam Batbold,Mongolia,AFC,MID,6,10,0,0,0,0,0,0
Ganbaataryn Togsbayar,Mongolia,AFC,ATK,10,8,0,0,0,0,0,0
Nyam-Osor Naranbold,Mongolia,AFC,ATK,10,8,0,0,0,0,0,0
Wardun Yussof,Brunei,AFC,GK,0,0,0,0,0,0,0,0
Afi Aminuddin,Brunei,AFC,DEF,1,2,0,0,0,0,0,0
Sairol Sahari,Brunei,AFC,DEF,1,2,0,0,0,0,0,0
Helmi Zambin,Brunei,AFC,DEF,2,5,0,0,0,0,0,0
Abdul Mu'iz Sisa,Brunei,AFC,DEF,2,5,0,0,0,0,0,0
Hendra Azam Idris,Brunei,AFC,MID,4,4,0,0,0,0,0,0
Nurikhwan Othman,Brunei,AFC,MID,4,4,0,0,0,0,0,0
Azwan Saleh,Brunei,AFC,MID,6,10,0,0,0,0,0,0
Amin Sisa,Brunei,AFC,MID,6,10,0,0,0,0,0,0
Azwan Ali Rahman,Brunei,AFC,ATK,10,8,0,0,0,0,0,0
Razimie Ramili,Brunei,AFC,ATK,10,8,0,0,0,0,0,0
Aderito,Timor-Leste,AFC,GK,0,0,0,0,0,0,0,0
Candido,Timor-Leste,AFC,DEF,1,2,0,0,0,0,0,0
Victor,Timor-Leste,AFC,DEF,1,2,0,0,0,0,0,0
Ade,Timor-Leste,AFC,DEF,4,5,0,0,0,0,0,0
Avigmas,Timor-Leste,AFC,DEF,2,5,0,0,0,0,0,0
Osvaldo,Timor-Leste,AFC,MID,2,4,0,0,0,0,0,0
Paulo Gali,Timor-Leste,AFC,MID,2,4,0,0,0,0,0,0
Gelvanio,Timor-Leste,AFC,MID,2,10,0,0,0,0,0,0
Elias,Timor-Leste,AFC,MID,2,10,0,0,0,0,0,0
Rufinho Gama,Timor-Leste,AFC,ATK,10,8,0,0,0,0,0,0
Joao Pedro,Timor-Leste,AFC,ATK,8,8,0,0,0,0,0,0
Doug Herrick,Guam,AFC,GK,0,0,0,0,0,0,0,0
Micah Paulino,Guam,AFC,DEF,1,2,0,0,0,0,0,0
Scott Leon Guerrero,Guam,AFC,DEF,1,2,0,0,0,0,0,0
Shawn Nicklaw,Guam,AFC,DEF,2,5,0,0,0,0,0,0
A.J. De La Garza,Guam,AFC,DEF,2,5,0,0,0,0,0,0
Travis Nicklaw,Guam,AFC,MID,4,4,0,0,0,0,0,0
Mark Chargualaf,Guam,AFC,MID,4,4,0,0,0,0,0,0
Ryan Guy,Guam,AFC,MID,6,10,0,0,0,0,0,0
Jason Cuncliffe,Guam,AFC,MID,6,10,0,0,0,0,0,0
Jason Garrido,Guam,AFC,ATK,10,8,0,0,0,0,0,0
Marcus Lopez,Guam,AFC,ATK,10,8,0,0,0,0,0,0
Yousuf Butt,Pakistan,AFC,GK,0,0,0,0,0,0,0,0
Waqar Ihtisham,Pakistan,AFC,DEF,1,2,0,0,0,0,0,0
Umer Hayat,Pakistan,AFC,DEF,1,2,0,0,0,0,0,0
Abdullah Qazi,Pakistan,AFC,DEF,2,5,0,0,0,0,0,0
Ali Uzair,Pakistan,AFC,DEF,2,5,0,0,0,0,0,0
Muhammad Adil,Pakistan,AFC,MID,4,4,0,0,0,0,0,0
Samir Nabi,Pakistan,AFC,MID,4,4,0,0,0,0,0,0
Rahis Nabi,Pakistan,AFC,MID,6,10,0,0,0,0,0,0
Muhammad Ali,Pakistan,AFC,ATK,6,10,0,0,0,0,0,0
Kaleemullah Khan,Pakistan,AFC,ATK,10,8,0,0,0,0,0,0
Hassan Bashir,Pakistan,AFC,ATK,10,8,0,0,0,0,0,0
Sujan Perera,Sri Lanka,AFC,GK,0,0,0,0,0,0,0,0
Jude Supan,Sri Lanka,AFC,DEF,1,2,0,0,0,0,0,0
Subash Madushan,Sri Lanka,AFC,DEF,1,2,0,0,0,0,0,0
Bandaa Warakagoda,Sri Lanka,AFC,DEF,2,5,0,0,0,0,0,0
Charitha Mudiyanselage,Sri Lanka,AFC,DEF,2,5,0,0,0,0,0,0
Kavindu Ishan,Sri Lanka,AFC,MID,4,4,0,0,0,0,0,0
Mohamed Rifnas,Sri Lanka,AFC,MID,4,4,0,0,0,0,0,0
Waseem Ahmed Razeek,Sri Lanka,AFC,MID,6,10,0,0,0,0,0,0
Chameera Sajith,Sri Lanka,AFC,MID,6,10,0,0,0,0,0,0
Mohamed Fazal,Sri Lanka,AFC,ATK,10,8,0,0,0,0,0,0
Zohar Mohamed Zarwan,Sri Lanka,AFC,ATK,10,8,0,0,0,0,0,0
Edouard Mendy,Senegal,CAF,GK,0,0,0,0,0,0,0,0
Youssouf Sabaly,Senegal,CAF,DEF,1,2,0,0,0,0,0,0
Moussa Wague,Senegal,CAF,DEF,2,2,0,0,0,0,0,0
Salif Sane,Senegal,CAF,DEF,3,5,0,0,0,0,0,0
Kalidou Koulibaly,Senegal,CAF,DEF,4,5,0,0,0,0,0,0
Cheikou Kouyate,Senegal,CAF,MID,5,4,0,0,0,0,0,0
Badou Ndaiye,Senegal,CAF,MID,6,4,0,0,0,0,0,0
Idrissa Gueye,Senegal,CAF,MID,7,10,0,0,0,0,0,0
Ismalia Sarr,Senegal,CAF,MID,8,10,0,0,0,0,0,0
Opa Nguette,Senegal,CAF,ATK,9,8,0,0,0,0,0,0
Sadio Mane,Senegal,CAF,ATK,10,8,0,0,0,0,0,0
Farouk Ben Mustapha,Tunisia,CAF,GK,0,0,0,0,0,0,0,0
Ali Maaloul,Tunisia,CAF,DEF,1,2,0,0,0,0,0,0
Dylan Bronn,Tunisia,CAF,DEF,2,2,0,0,0,0,0,0
Yassine Meriah,Tunisia,CAF,DEF,3,5,0,0,0,0,0,0
Mohammed Drager,Tunisia,CAF,DEF,4,5,0,0,0,0,0,0
Ferjani Sassi,Tunisia,CAF,MID,5,4,0,0,0,0,0,0
Mohamed Amine Ben Amor,Tunisia,CAF,MID,6,4,0,0,0,0,0,0
Saad Bguir,Tunisia,CAF,MID,7,10,0,0,0,0,0,0
Naim Sliti,Tunisia,CAF,MID,8,10,0,0,0,0,0,0
Youssef Msakni,Tunisia,CAF,ATK,9,8,0,0,0,0,0,0
Wabhi Khazri,Tunisia,CAF,ATK,10,8,0,0,0,0,0,0
Rais M'Bolhi,Algeria,CAF,GK,0,0,0,0,0,0,0,0
Mehdi Tahrat,Algeria,CAF,DEF,1,2,0,0,0,0,0,0
Aissa Mandi,Algeria,CAF,DEF,2,2,0,0,0,0,0,0
Ramy Bensebaini,Algeria,CAF,DEF,3,5,0,0,0,0,0,0
Djamel Benlamri,Algeria,CAF,DEF,4,5,0,0,0,0,0,0
Adlene Guedioura,Algeria,CAF,MID,5,4,0,0,0,0,0,0
Yacine Brahimi,Algeria,CAF,MID,6,4,0,0,0,0,0,0
Sofiane Feghouli,Algeria,CAF,MID,7,10,0,0,0,0,0,0
Said Benrahma,Algeria,CAF,MID,8,10,0,0,0,0,0,0
Riyad Mahrez,Algeria,CAF,ATK,9,8,0,0,0,0,0,0
Baghdad Bounedjah,Algeria,CAF,ATK,10,8,0,0,0,0,0,0
Munir Mohamedi,Morocco,CAF,GK,0,0,0,0,0,0,0,0
Hamza Mendyl,Morocco,CAF,DEF,1,2,0,0,0,0,0,0
Romain Saiss,Morocco,CAF,DEF,2,2,0,0,0,0,0,0
Noussair Mazrouri,Morocco,CAF,DEF,3,5,0,0,0,0,0,0
Achraf Hakimi,Morocco,CAF,DEF,4,5,0,0,0,0,0,0
Omar El Kaddouri ,Morocco,CAF,MID,5,4,0,0,0,0,0,0
Faycal Fajr,Morocco,CAF,MID,6,4,0,0,0,0,0,0
Adil Taarabt,Morocco,CAF,MID,7,10,0,0,0,0,0,0
Hakim Ziyech,Morocco,CAF,MID,8,10,0,0,0,0,0,0
Youssef En-Nesyri,Morocco,CAF,ATK,9,8,0,0,0,0,0,0
Youssef El-Arabi,Morocco,CAF,ATK,10,8,0,0,0,0,0,0
Daniel Akpeyi,Nigeria,CAF,GK,0,0,0,0,0,0,0,0
Leon Balogun,Nigeria,CAF,DEF,1,2,0,0,0,0,0,0
Ola Aina,Nigeria,CAF,DEF,2,2,0,0,0,0,0,0
Kenneth Omeru,Nigeria,CAF,DEF,3,5,0,0,0,0,0,0
William Troost-Ekong,Nigeria,CAF,DEF,4,5,0,0,0,0,0,0
Peter Etebo,Nigeria,CAF,MID,5,4,0,0,0,0,0,0
Alex Iwobi,Nigeria,CAF,MID,6,4,0,0,0,0,0,0
Samuel Chukwueze,Nigeria,CAF,ATK,7,10,0,0,0,0,0,0
Victor Osimhen,Nigeria,CAF,ATK,8,10,0,0,0,0,0,0
Kelechi Iheanacho,Nigeria,CAF,ATK,9,8,0,0,0,0,0,0
Ahmed Musa,Nigeria,CAF,ATK,10,8,0,0,0,0,0,0
Mohamed El Shenawy,Egypt,CAF,GK,0,0,0,0,0,0,0,0
Mohamed Hany,Egypt,CAF,DEF,1,2,0,0,0,0,0,0
Ali Gabr,Egypt,CAF,DEF,2,2,0,0,0,0,0,0
Ayman Ashraf,Egypt,CAF,DEF,3,5,0,0,0,0,0,0
Ahmed Hegazi,Egypt,CAF,DEF,4,5,0,0,0,0,0,0
Tarek Hamed,Egypt,CAF,MID,5,4,0,0,0,0,0,0
Mohamed Elneny,Egypt,CAF,MID,6,4,0,0,0,0,0,0
Abdallah El Said,Egypt,CAF,MID,7,10,0,0,0,0,0,0
Trezeguet,Egypt,CAF,ATK,8,10,0,0,0,0,0,0
Kouka,Egypt,CAF,ATK,9,8,0,0,0,0,0,0
Mohamed Salah,Egypt,CAF,ATK,25,8,0,0,0,0,0,0
Andre Onana,Cameroon,CAF,GK,0,0,0,0,0,0,0,0
Ambroise Oyongo,Cameroon,CAF,DEF,1,2,0,0,0,0,0,0
Collins Fai,Cameroon,CAF,DEF,2,2,0,0,0,0,0,0
Nicolas Nkoulou,Cameroon,CAF,DEF,3,5,0,0,0,0,0,0
Michael Ngadeu-Ngadjui,Cameroon,CAF,DEF,4,5,0,0,0,0,0,0
Arnaud Djoum ,Cameroon,CAF,MID,5,4,0,0,0,0,0,0
Christian Bassogog,Cameroon,CAF,MID,6,4,0,0,0,0,0,0
Andre-Frank Zambo Anguissa,Cameroon,CAF,MID,7,10,0,0,0,0,0,0
Clinton N'Jie,Cameroon,CAF,ATK,8,10,0,0,0,0,0,0
Eric Maxim Choupo-Moting,Cameroon,CAF,ATK,9,8,0,0,0,0,0,0
Vincent Aboubakar,Cameroon,CAF,ATK,10,8,0,0,0,0,0,0
Richard Ofori,Ghana,CAF,GK,0,0,0,0,0,0,0,0
Nicholas Opoku,Ghana,CAF,DEF,1,2,0,0,0,0,0,0
Baba Rahman,Ghana,CAF,DEF,2,2,0,0,0,0,0,0
John Boye,Ghana,CAF,DEF,3,5,0,0,0,0,0,0
Mohamed Salisu,Ghana,CAF,DEF,4,5,0,0,0,0,0,0
Thomas Partey,Ghana,CAF,MID,5,4,0,0,0,0,0,0
Bernard Mensah,Ghana,CAF,MID,6,4,0,0,0,0,0,0
Mubarak Wakaso,Ghana,CAF,MID,7,10,0,0,0,0,0,0
Andre Ayew,Ghana,CAF,MID,8,10,0,0,0,0,0,0
Mohamed Kudus,Ghana,CAF,ATK,9,8,0,0,0,0,0,0
Jordan Ayew,Ghana,CAF,ATK,10,8,0,0,0,0,0,0
Djigui Diarra,Mali,CAF,GK,0,0,0,0,0,0,0,0
Mamadou Fofana,Mali,CAF,DEF,1,2,0,0,0,0,0,0
Falaye Sacko,Mali,CAF,DEF,2,2,0,0,0,0,0,0
Hamari Traore,Mali,CAF,DEF,3,5,0,0,0,0,0,0
Molla Wague,Mali,CAF,DEF,4,5,0,0,0,0,0,0
Yves Bissouma,Mali,CAF,MID,5,4,0,0,0,0,0,0
Lassana Coulibaly,Mali,CAF,MID,6,4,0,0,0,0,0,0
Adama Traore,Mali,CAF,MID,7,10,0,0,0,0,0,0
Moussa Djenepo,Mali,CAF,MID,8,10,0,0,0,0,0,0
Kalifa Coulibaly,Mali,CAF,ATK,9,8,0,0,0,0,0,0
Sekou Coita,Mali,CAF,ATK,10,8,0,0,0,0,0,0
Aboubacar Sawadogo,Burkina Faso,CAF,GK,0,0,0,0,0,0,0,0
Steeve Yago,Burkina Faso,CAF,DEF,1,2,0,0,0,0,0,0
Yacouba Coulibaly,Burkina Faso,CAF,DEF,2,2,0,0,0,0,0,0
Edmond Tapsoba,Burkina Faso,CAF,DEF,3,5,0,0,0,0,0,0
Issoufou Dayo,Burkina Faso,CAF,DEF,4,5,0,0,0,0,0,0
Charles Kabore,Burkina Faso,CAF,MID,5,4,0,0,0,0,0,0
Cyrille Bayala,Burkina Faso,CAF,MID,6,4,0,0,0,0,0,0
Bryan Dabo,Burkina Faso,CAF,MID,7,10,0,0,0,0,0,0
Alain Traore,Burkina Faso,CAF,ATK,8,10,0,0,0,0,0,0
Bertrand Traore,Burkina Faso,CAF,ATK,9,8,0,0,0,0,0,0
Lassina Traore,Burkina Faso,CAF,ATK,10,8,0,0,0,0,0,0
Joel Kiassumbua,Congo DR,CAF,GK,0,0,0,0,0,0,0,0
Issama Mpeko,Congo DR,CAF,DEF,1,2,0,0,0,0,0,0
Marcel Tisserand,Congo DR,CAF,DEF,2,2,0,0,0,0,0,0
Ngonda Muzinga,Congo DR,CAF,DEF,3,5,0,0,0,0,0,0
Merveille Bokadi,Congo DR,CAF,DEF,4,5,0,0,0,0,0,0
Chancel Mbemba,Congo DR,CAF,MID,5,4,0,0,0,0,0,0
Yannick Bangala Litombo,Congo DR,CAF,MID,6,4,0,0,0,0,0,0
Paul-Jose M'Poku,Congo DR,CAF,MID,7,10,0,0,0,0,0,0
Neeskens Kabano,Congo DR,CAF,MID,8,10,0,0,0,0,0,0
Yannick Bolasie,Congo DR,CAF,ATK,9,8,0,0,0,0,0,0
Cedric Bakumbu,Congo DR,CAF,ATK,10,8,0,0,0,0,0,0
Sylvain Gbohouo,Ivory Coast,CAF,GK,0,0,0,0,0,0,0,0
Serge Aurier,Ivory Coast,CAF,DEF,1,2,0,0,0,0,0,0
Wilfried Kanon,Ivory Coast,CAF,DEF,2,2,0,0,0,0,0,0
Eric Bailly,Ivory Coast,CAF,DEF,3,5,0,0,0,0,0,0
Kalpi Ouattara,Ivory Coast,CAF,DEF,4,5,0,0,0,0,0,0
Serey Die,Ivory Coast,CAF,MID,5,4,0,0,0,0,0,0
Franck Kessie,Ivory Coast,CAF,MID,6,4,0,0,0,0,0,0
Jean-Daniel Akpa Akpro ,Ivory Coast,CAF,MID,7,10,0,0,0,0,0,0
Sebestian Haller,Ivory Coast,CAF,ATK,10,10,0,0,0,0,0,0
Gervinho,Ivory Coast,CAF,ATK,9,8,0,0,0,0,0,0
Wilfried Zaha,Ivory Coast,CAF,ATK,8,8,0,0,0,0,0,0
Darren Keet,South Africa,CAF,GK,0,0,0,0,0,0,0,0
Sifiso Hlanti,South Africa,CAF,DEF,1,2,0,0,0,0,0,0
Thulani Hlatshwayo,South Africa,CAF,DEF,2,2,0,0,0,0,0,0
Thlapelo Moreno,South Africa,CAF,DEF,3,5,0,0,0,0,0,0
Mosa Lebesu,South Africa,CAF,DEF,4,5,0,0,0,0,0,0
Teboho Mokoena,South Africa,CAF,MID,5,4,0,0,0,0,0,0
Keagen Dolly,South Africa,CAF,MID,6,4,0,0,0,0,0,0
Bongani Zungu,South Africa,CAF,MID,7,10,0,0,0,0,0,0
Percy Tau,South Africa,CAF,MID,8,10,0,0,0,0,0,0
Kermit Erasmus,South Africa,CAF,ATK,9,8,0,0,0,0,0,0
Luther Singh,South Africa,CAF,ATK,10,8,0,0,0,0,0,0
Aly Keita,Guinea,CAF,GK,0,0,0,0,0,0,0,0
Saidou Sow,Guinea,CAF,DEF,1,2,0,0,0,0,0,0
Issiaga Sylla,Guinea,CAF,DEF,2,2,0,0,0,0,0,0
Simon Falette,Guinea,CAF,DEF,3,5,0,0,0,0,0,0
Florentin Pogba,Guinea,CAF,DEF,4,5,0,0,0,0,0,0
Ibrahima Sory Conte,Guinea,CAF,MID,5,4,0,0,0,0,0,0
Morlaye Sylla,Guinea,CAF,MID,6,4,0,0,0,0,0,0
Naby Keita,Guinea,CAF,MID,7,10,0,0,0,0,0,0
Demba Camara,Guinea,CAF,MID,8,10,0,0,0,0,0,0
Francois Kamara,Guinea,CAF,ATK,9,8,0,0,0,0,0,0
Daouda Camara,Guinea,CAF,ATK,10,8,0,0,0,0,0,0
Denis Onyango,Uganda,CAF,GK,0,0,0,0,0,0,0,0
Bevis Mugabi,Uganda,CAF,DEF,1,2,0,0,0,0,0,0
Timothy Awany,Uganda,CAF,DEF,2,2,0,0,0,0,0,0
Joseph Ochaya,Uganda,CAF,DEF,3,5,0,0,0,0,0,0
Nichola Wadada,Uganda,CAF,DEF,4,5,0,0,0,0,0,0
Khalid Aucho,Uganda,CAF,MID,5,4,0,0,0,0,0,0
Moses Waiswa,Uganda,CAF,MID,6,4,0,0,0,0,0,0
Taddeo Lwanga,Uganda,CAF,MID,7,10,0,0,0,0,0,0
Farouk Miya,Uganda,CAF,MID,8,10,0,0,0,0,0,0
Fahad Bayo,Uganda,CAF,ATK,9,8,0,0,0,0,0,0
Emmenuel Okwi,Uganda,CAF,ATK,10,8,0,0,0,0,0,0
Vozinha,Cabo Verde,CAF,GK,0,0,0,0,0,0,0,0
Stopira,Cabo Verde,CAF,DEF,1,2,0,0,0,0,0,0
Steven Fortes,Cabo Verde,CAF,DEF,2,2,0,0,0,0,0,0
Ponck,Cabo Verde,CAF,DEF,3,5,0,0,0,0,0,0
Jeffry Fortes,Cabo Verde,CAF,DEF,4,5,0,0,0,0,0,0
Marco Soares,Cabo Verde,CAF,MID,5,4,0,0,0,0,0,0
Bruno Leite,Cabo Verde,CAF,MID,6,4,0,0,0,0,0,0
Helder Tavares,Cabo Verde,CAF,MID,7,10,0,0,0,0,0,0
Jamiro,Cabo Verde,CAF,MID,9,10,0,0,0,0,0,0
Gilson Taveres,Cabo Verde,CAF,ATK,8,8,0,0,0,0,0,0
Ryan Mendes,Cabo Verde,CAF,ATK,10,8,0,0,0,0,0,0
Fabian Farnolle,Benin,CAF,GK,0,0,0,0,0,0,0,0
David Kiki,Benin,CAF,DEF,1,2,0,0,0,0,0,0
Olivier Verdon,Benin,CAF,DEF,2,2,0,0,0,0,0,0
Emmenuel Imorou,Benin,CAF,DEF,3,5,0,0,0,0,0,0
Nabil Yarou,Benin,CAF,DEF,4,5,0,0,0,0,0,0
Jordan Adeoti,Benin,CAF,MID,5,4,0,0,0,0,0,0
Seibou Mama,Benin,CAF,MID,6,4,0,0,0,0,0,0
Sessi D'Almeida,Benin,CAF,MID,7,10,0,0,0,0,0,0
Stephane Sessegnon,Benin,CAF,MID,8,10,0,0,0,0,0,0
Steve Mounie,Benin,CAF,ATK,9,8,0,0,0,0,0,0
Mickael Pote,Benin,CAF,ATK,10,8,0,0,0,0,0,0
Mfa Mezui,Gabon,CAF,GK,0,0,0,0,0,0,0,0
Ecuele Manga,Gabon,CAF,DEF,1,2,0,0,0,0,0,0
Lloyd Palun,Gabon,CAF,DEF,2,2,0,0,0,0,0,0
Johann Obiang,Gabon,CAF,DEF,3,5,0,0,0,0,0,0
Yoann Wachter,Gabon,CAF,DEF,4,5,0,0,0,0,0,0
Andre Biyogo Poko,Gabon,CAF,MID,5,4,0,0,0,0,0,0
Levy Madinda,Gabon,CAF,MID,6,4,0,0,0,0,0,0
Guelor Kaku,Gabon,CAF,MID,7,10,0,0,0,0,0,0
Didier Ndong,Gabon,CAF,MID,8,10,0,0,0,0,0,0
Denis Bouanga,Gabon,CAF,ATK,9,8,0,0,0,0,0,0
Pierre-Emerick Aubameyang,Gabon,CAF,ATK,25,8,0,0,0,0,0,0
Sebastian Mwange,Zambia,CAF,GK,0,0,0,0,0,0,0,0
Kaboso Chongo,Zambia,CAF,DEF,1,2,0,0,0,0,0,0
Tandi Mwape,Zambia,CAF,DEF,2,2,0,0,0,0,0,0
Luka Banda,Zambia,CAF,DEF,3,5,0,0,0,0,0,0
Zakaria Chilongoshi,Zambia,CAF,DEF,4,5,0,0,0,0,0,0
Lubambo Musonda,Zambia,CAF,MID,5,4,0,0,0,0,0,0
